Astrobee Movement Tracking Data
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.42, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.43, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.44, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.45, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.45, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.46, 0.04)
Time: 0.23, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.47, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.48, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.48, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.49, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.49, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.50, 0.04)
Time: 0.24, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.51, 0.04)
Time: 0.25, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.52, 0.04)
Time: 0.25, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.53, 0.04)
Time: 0.25, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.54, 0.04)
Time: 0.25, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.56, 0.04)
Time: 0.26, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.57, 0.04)
Time: 0.26, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.57, 0.04)
Time: 0.26, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.58, 0.04)
Time: 0.26, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.59, 0.04)
Time: 0.27, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.60, 0.04)
Time: 0.27, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.61, 0.04)
Time: 0.27, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.62, 0.04)
Time: 0.27, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.63, 0.04)
Time: 0.27, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.63, 0.04)
Time: 0.27, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.64, 0.04)
Time: 0.28, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.65, 0.04)
Time: 0.28, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.66, 0.04)
Time: 0.28, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.66, 0.04)
Time: 0.28, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.66, 0.04)
Time: 0.28, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.67, 0.04)
Time: 0.29, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.68, 0.04)
Time: 0.29, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.70, 0.04)
Time: 0.29, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.71, 0.04)
Time: 0.29, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.71, 0.04)
Time: 0.29, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.73, 0.04)
Time: 0.30, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.74, 0.04)
Time: 0.30, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.75, 0.04)
Time: 0.30, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.75, 0.04)
Time: 0.30, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.76, 0.04)
Time: 0.30, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.76, 0.04)
Time: 0.30, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.77, 0.04)
Time: 0.31, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.78, 0.04)
Time: 0.31, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.79, 0.04)
Time: 0.31, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.80, 0.04)
Time: 0.31, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.80, 0.04)
Time: 0.31, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.81, 0.04)
Time: 0.31, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.82, 0.04)
Time: 0.31, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.82, 0.04)
Time: 0.32, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.83, 0.04)
Time: 0.32, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.84, 0.04)
Time: 0.32, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.85, 0.04)
Time: 0.32, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.85, 0.04)
Time: 0.32, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.85, 0.04)
Time: 0.32, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.86, 0.04)
Time: 0.32, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.87, 0.04)
Time: 0.33, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.88, 0.04)
Time: 0.33, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.89, 0.04)
Time: 0.33, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.90, 0.04)
Time: 0.33, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.91, 0.04)
Time: 0.33, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.92, 0.04)
Time: 0.33, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.92, 0.04)
Time: 0.34, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.93, 0.04)
Time: 0.34, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.94, 0.04)
Time: 0.34, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.94, 0.04)
Time: 0.34, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.94, 0.04)
Time: 0.34, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.95, 0.04)
Time: 0.35, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.97, 0.04)
Time: 0.35, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.97, 0.04)
Time: 0.35, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.98, 0.04)
Time: 0.35, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 299.99, 0.03)
Time: 0.35, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.00, 0.03)
Time: 0.35, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.00, 0.03)
Time: 0.35, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.01, 0.03)
Time: 0.36, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.02, 0.03)
Time: 0.36, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.02, 0.03)
Time: 0.36, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.03, 0.03)
Time: 0.36, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.04, 0.03)
Time: 0.36, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.04, 0.03)
Time: 0.36, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.05, 0.03)
